,year,month,week,Date,D,F,T,P,I
1,2021,Jan,1,1/1/2021,6305004.61,2291684.44,115000,93552.08,NA
2,2021,Jan,1,1/2/2021,1840403,360700,110000,NA,NA
3,2021,Jan,1,1/3/2021,1100372.52,1580000,10000,NA,NA
4,2021,Jan,1,1/4/2021,4272073.28,3478457.07,309463.44,5209315.24,NA
5,2021,Jan,1,1/5/2021,2270838.15,6917273.72,120000,1800716.82,NA
6,2021,Jan,1,1/6/2021,2703311.68,4821547.07,30000,2457833.26,NA
7,2021,Jan,1,1/7/2021,3800541.29,7113286.05,1.00E+05,4839433.84,NA
8,2021,Jan,2,1/8/2021,1961578.32,8052494.51,250000,7707477.85,NA
9,2021,Jan,2,1/9/2021,222000,1721525.51,NA,NA,NA
10,2021,Jan,2,1/10/2021,573000,824651.16,NA,NA,NA
11,2021,Jan,2,1/11/2021,3953881.71,4631698.65,145000,6902485.957,NA
12,2021,Jan,2,1/12/2021,4320275.36,9781678.28,702914.49,10406541.19,NA
13,2021,Jan,2,1/13/2021,5417047.51,5590610.02,437000,4074384.05,NA
14,2021,Jan,2,1/14/2021,2366001.21,8787524.63,359000,7272194.96,NA
15,2021,Jan,3,1/15/2021,2294156.13,8138233.74,1095000,5193767.61,NA
16,2021,Jan,3,1/16/2021,400340.99,2764253.48,685000,NA,NA
17,2021,Jan,3,1/17/2021,750909.09,998186.34,163000,NA,NA
18,2021,Jan,3,1/18/2021,2316345,8057361.94,1187650,15574508.88,NA
19,2021,Jan,3,1/19/2021,2003457.96,6423032.09,1300000,1949824.55,NA
20,2021,Jan,3,1/20/2021,1450801.74,7216417.58,1319315.5,2631774.92,NA
21,2021,Jan,3,1/21/2021,1910600,6096200.46,774238.73,5929964.74,NA
22,2021,Jan,4,1/22/2021,5753508.97,7971430.05,1399826.97,7952026.51,NA
23,2021,Jan,4,1/23/2021,78605.79,3390071.84,565000,NA,NA
24,2021,Jan,4,1/24/2021,333412.85,2444802.94,1409300,NA,NA
25,2021,Jan,4,1/25/2021,2422736.6,8508266.36,932000,3993610.76,NA
26,2021,Jan,4,1/26/2021,5785078.25,14537322.58,804000,4778643.85,NA
27,2021,Jan,4,1/27/2021,5790918,9948432.5,826500,5538529.7,NA
28,2021,Jan,4,1/28/2021,7362562.45,13185240.11,2787623.68,9279107.39,NA
29,2021,Jan,5,1/29/2021,14227338.23,22839780.67,2497349.86,57742898.53,NA
